Группа;День недели;Дата;Время;Дисциплина;Вид нагрузки кафедры;Преподаватель;Аудитория
СРБ-Б-04-Д-2024-1;Чт;05.12.2024;13.50 - 15.20;Экономика;Практическое занятие;Корнелюк Наталья Николаевна;101
СРБ-Б-04-Д-2024-1;Чт;05.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Омелюсик Василий Андреевич;202
ЮСТ-Б-2-Д-2024-1;Чт;05.12.2024;08.30 - 10.00;Философия;Практическое занятие;Торканевский Андрей Анатольевич;204
ЮСТ-Б-2-Д-2024-1;Чт;05.12.2024;10.10 - 11.40;Социология;Практическое занятие;Андрейковец Елена Михайловна;204
ЮСТ-Б-2-Д-2024-1;Чт;05.12.2024;12.10 - 13.40;Введение в специальность;Практическое занятие;Богатко Анна Григорьевна;204
ЮСТ-Б-2-Д-2024-1;Чт;05.12.2024;13.50 - 15.20;Теория государства и права;Практическое занятие;Богатко Анна Григорьевна;204
ЮСТ-Б-2-Д-2024-1;Чт;05.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ЮСТ-Б-2-Д-2024-2;Чт;05.12.2024;08.30 - 10.00;История России;Практическое занятие;Козик Любовь Антоновна;214
ЮСТ-Б-2-Д-2024-2;Чт;05.12.2024;10.10 - 11.40;Введение в специальность;Практическое занятие;Богатко Анна Григорьевна;214
ЮСТ-Б-2-Д-2024-2;Чт;05.12.2024;12.10 - 13.40;Философия;Практическое занятие;Торканевский Андрей Анатольевич;214
ЮСТ-Б-2-Д-2024-2;Чт;05.12.2024;13.50 - 15.20;Философия;Практическое занятие;Торканевский Андрей Анатольевич;214
ЮСТ-Б-2-Д-2024-2;Чт;05.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
МЕН-М-5-Д-2024-1;Чт;05.12.2024;10.10 - 11.40;Социально-экономическая статистика;Практическое занятие;Врублевская-Токер Татьяна Ивановна;202
МЕН-М-5-Д-2024-1;Чт;05.12.2024;12.10 - 13.40;Социально-экономическая статистика;Практическое занятие;Врублевская-Токер Татьяна Ивановна;202
МЕН-М-5-Д-2024-1;Чт;05.12.2024;13.50 - 15.20;Управление проектами и программами;Практическое занятие;Ворошилина Наталья Николаевна;202
ПСИ-Б-04-В-2024-1;Чт;05.12.2024;18.50 - 20.20;Основы профилактики и противодействия терроризму и экстремизму;Практическое занятие;Ковальчишина Наталья Ивановна;219
ПСИ-Б-04-В-2024-1;Чт;05.12.2024;20.30 - 22.00;"Общественный проект ""Обучение служением""";Практическое занятие;Самусевич Ольга Михайловна;219
ПСИ-Б-04-В-2024-2;Чт;05.12.2024;18.50 - 20.20;"Общественный проект ""Обучение служением""";Практическое занятие;Самусевич Ольга Михайловна;156
ПСИ-Б-04-В-2024-2;Чт;05.12.2024;20.30 - 22.00;Основы профилактики и противодействия терроризму и экстремизму;Практическое занятие;Ковальчишина Наталья Ивановна;156
ПСИ-М-9-В-2024-1;Чт;05.12.2024;18.50 - 20.20;Актуальные проблемы теории и практики современной психологии;Практическое занятие;Марищук Людмила Владимировна;104
ПСИ-М-9-В-2024-1;Чт;05.12.2024;20.30 - 22.00;Актуальные проблемы теории и практики современной психологии;Практическое занятие;Марищук Людмила Владимировна;104
КФЛ-Б-0-Д-2021-1;Чт;05.12.2024;15.30 - 17.00;Теория и практика социально-психологического тренинга в образовании, управлении и бизнесе;Практическое занятие;Реут Вероника Геннадьевна;310
КФЛ-Б-0-Д-2021-1;Чт;05.12.2024;17.10 - 18.40;Психологическое консультирование, медиация в сфере семейных отношений;Лекция;Станкевич Татьяна Ивановна;101
КФЛ-Б-0-Д-2021-1;Чт;05.12.2024;18.50 - 20.20;Психологическое консультирование, медиация в сфере семейных отношений;Лекция;Станкевич Татьяна Ивановна;101
СРБ-Б-04-З-2021-1;Чт;05.12.2024;12.10 - 13.40;Опека и попечительство;Зачёт;Бочарова Ольга Станиславовна;310
СРБ-Б-04-З-2021-1;Чт;05.12.2024;13.50 - 15.20;Опека и попечительство;Зачёт;Бочарова Ольга Станиславовна;310
СРБ-Б-04-З-2021-1;Чт;05.12.2024;15.30 - 17.00;Социальные инновации;Практическое занятие;Андрейковец Елена Михайловна;219
СРБ-Б-04-З-2021-1;Чт;05.12.2024;17.10 - 18.40;Социальная работа с молодежью;Лекция;Сретенский Никита Сергеевич;219
МЕН-Б-3-Д-2023-2;Чт;05.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
МЕН-Б-3-Д-2023-2;Чт;05.12.2024;13.50 - 15.20;Социология управления;Практическое занятие;Андрейковец Елена Михайловна;221
МЕН-Б-3-Д-2023-2;Чт;05.12.2024;15.30 - 17.00;Деловое общение;Практическое занятие;Саболевский Илья Русланович;221
МЕН-Б-3-Д-2023-2;Чт;05.12.2024;17.10 - 18.40;Финансово-экономический анализ в проектной деятельности;Практическое занятие;Щемелева Елена Владимировна;221
ПСИ-Б-04-Д-2023-2;Чт;05.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ПСИ-Б-04-Д-2023-2;Чт;05.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ПСИ-Б-04-Д-2023-2;Чт;05.12.2024;13.50 - 15.20;Анализ данных;Лекция;Федотова Ольга Михайловна;312
ПСИ-Б-04-Д-2023-2;Чт;05.12.2024;15.30 - 17.00;Психология личности;Лекция;Станкевич Татьяна Ивановна;312
ПСИ-Б-04-Д-2023-2;Чт;05.12.2024;17.10 - 18.40;Социальная психология;Лекция;Чернявская Ирина Юрьевна;312
ПСИ-Б-04-Д-2023-2;Чт;05.12.2024;18.50 - 20.20;Социальная психология;Лекция;Чернявская Ирина Юрьевна;312
ПСИ-Б-04-Д-2023-2;Чт;05.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ЮСТ-Б-2-Д-2023-2;Чт;05.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ЮСТ-Б-2-Д-2023-2;Чт;05.12.2024;13.50 - 15.20;Уголовное право;Практическое занятие;Климова Евгения Ивановна;315
ЮСТ-Б-2-Д-2023-2;Чт;05.12.2024;15.30 - 17.00;Административное право;Практическое занятие;Климченя Вячеслав Сергеевич;315
ЮСТ-Б-2-Д-2023-2;Чт;05.12.2024;17.10 - 18.40;Иностранный язык (3 подгруппа);Практическое занятие;Ольшевская Екатерина Николаевна;315
ЮСТ-Б-2-Д-2023-2;Чт;05.12.2024;18.50 - 20.20;Иностранный язык (3 подгруппа);Практическое занятие;Ольшевская Екатерина Николаевна;315
ПСИ-Б-04-В-2023-2;Чт;05.12.2024;18.50 - 20.20;Основы киберпсихологии;Практическое занятие;Шлимаков Максим Сергеевич;103
ПСИ-Б-04-В-2023-2;Чт;05.12.2024;20.30 - 22.00;История социально-психологического знания;Практическое занятие;Самаль Елена Викторовна;103
МЕН-Б-3-Д-2022-2;Чт;05.12.2024;10.10 - 11.40;Стратегический и проектный менеджмент;Практическое занятие;Нарвойш Юлия Александровна;101
МЕН-Б-3-Д-2022-2;Чт;05.12.2024;12.10 - 13.40;Управление проектами;Практическое занятие;Ворошилина Наталья Николаевна;212
МЕН-Б-3-Д-2022-2;Чт;05.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
МЕН-Б-3-Д-2022-1;Чт;05.12.2024;10.10 - 11.40;Управление проектами;Практическое занятие;Ворошилина Наталья Николаевна;212
МЕН-Б-3-Д-2022-1;Чт;05.12.2024;12.10 - 13.40;Стратегический и проектный менеджмент;Практическое занятие;Нарвойш Юлия Александровна;101
МЕН-Б-3-Д-2022-1;Чт;05.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ПСИ-Б-01-Д-2022-1;Чт;05.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ПСИ-Б-01-Д-2022-1;Чт;05.12.2024;10.10 - 11.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ПСИ-Б-01-Д-2022-1;Чт;05.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Оздоровительная аэробика (СМГ));Практическое занятие;Вальтер Валерия Яновна;143 Спортивный зал
ПСИ-Б-01-Д-2022-1;Чт;05.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Оздоровительная аэробика (СМГ));Практическое занятие;Вальтер Валерия Яновна;143 Спортивный зал
ПСИ-Б-01-Д-2022-1;Чт;05.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ПСИ-Б-01-Д-2022-1;Чт;05.12.2024;17.10 - 18.40;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
СРБ-Б-04-Д-2022-1;Чт;05.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
СРБ-Б-04-Д-2022-1;Чт;05.12.2024;10.10 - 11.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ЮСТ-Б-2-Д-2022-1;Чт;05.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ЮСТ-Б-2-Д-2022-1;Чт;05.12.2024;10.10 - 11.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ПСИ-Б-01-В-2021-1;Чт;05.12.2024;18.50 - 20.20;Социально-психологический тренинг;Практическое занятие;Сутович Елена Иосифовна;214
ПСИ-Б-01-В-2021-1;Чт;05.12.2024;20.30 - 22.00;Социально-психологический тренинг;Практическое занятие;Сутович Елена Иосифовна;214
ПСИ-Б-01-Д-2021-1;Чт;05.12.2024;13.50 - 15.20;Теория и практика социально-психологического тренинга в образовании, управлении и бизнесе;Практическое занятие;Реут Вероника Геннадьевна;104
ПСИ-Б-01-Д-2021-1;Чт;05.12.2024;15.30 - 17.00;Дифференциальная психология;Практическое занятие;Чернявская Ирина Юрьевна;104
ПСИ-Б-01-Д-2021-1;Чт;05.12.2024;17.10 - 18.40;Социально-психологический тренинг;Практическое занятие;Сутович Елена Иосифовна;104
ПСИ-Б-01-Д-2021-2;Чт;05.12.2024;13.50 - 15.20;Дифференциальная психология;Практическое занятие;Чернявская Ирина Юрьевна;309
ПСИ-Б-01-Д-2021-2;Чт;05.12.2024;15.30 - 17.00;Социально-психологический тренинг;Практическое занятие;Сутович Елена Иосифовна;309
ПСИ-Б-01-Д-2021-2;Чт;05.12.2024;17.10 - 18.40;Теория и практика социально-психологического тренинга в образовании, управлении и бизнесе;Практическое занятие;Реут Вероника Геннадьевна;309
ПСИ-Б-01-Д-2022-2;Пт;06.12.2024;10.10 - 11.40;Психодиагностика. Экспериментальные и прикладные методы в исследовательской и консультационной практике;Практическое занятие;Ковальчишина Наталья Ивановна;214
ПСИ-Б-01-Д-2022-2;Пт;06.12.2024;12.10 - 13.40;Прикладные исследования и психодиагностика в организации;Практическое занятие;Сутович Елена Иосифовна;214
МЕН-Б-3-Д-2023-1;Пт;06.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
МЕН-Б-3-Д-2023-1;Пт;06.12.2024;15.30 - 17.00;Деловое общение;Практическое занятие;Саболевский Илья Русланович;203
МЕН-Б-3-Д-2023-1;Пт;06.12.2024;17.10 - 18.40;Правовые основы экономико-управленческой деятельности;Практическое занятие;Пыталев Роман Михайлович;203
МЕН-Б-3-Д-2023-1;Пт;06.12.2024;18.50 - 20.20;Правовые основы экономико-управленческой деятельности;Практическое занятие;Пыталев Роман Михайлович;203
МЕН-Б-3-Д-2023-1;Пт;06.12.2024;20.30 - 22.00;Иностранный язык (1 подгруппа);Практическое занятие;Максименко Анна Маратовна;203
МЕН-Б-3-Д-2023-1;Пт;06.12.2024;20.30 - 22.00;Иностранный язык (2 подгруппа);Практическое занятие;Ольшевская Екатерина Николаевна;405
ПСИ-Б-04-Д-2023-1;Пт;06.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
ПСИ-Б-04-Д-2023-1;Пт;06.12.2024;15.30 - 17.00;Психология развития и социализации человека;Практическое занятие;Чернявская Ирина Юрьевна;315
ПСИ-Б-04-Д-2023-1;Пт;06.12.2024;17.10 - 18.40;Психология развития и социализации человека;Практическое занятие;Чернявская Ирина Юрьевна;315
ПСИ-Б-04-Д-2023-1;Пт;06.12.2024;18.50 - 20.20;Общая психология;Практическое занятие;Ахунова Ирина Георгиевна;101
ПСИ-Б-04-Д-2023-1;Пт;06.12.2024;20.30 - 22.00;Общая психология;Практическое занятие;Ахунова Ирина Георгиевна;101
СРБ-Б-04-Д-2023-1;Пт;06.12.2024;13.50 - 15.20;Практическая социология;Практическое занятие;Сретенский Никита Сергеевич;316
СРБ-Б-04-Д-2023-1;Пт;06.12.2024;15.30 - 17.00;Практическая социология;Практическое занятие;Сретенский Никита Сергеевич;316
СРБ-Б-04-Д-2023-1;Пт;06.12.2024;17.10 - 18.40;Этические основы социальной работы;Практическое занятие;Игнатовец Людмила Михайловна;316
СРБ-Б-04-Д-2023-1;Пт;06.12.2024;18.50 - 20.20;Этические основы социальной работы;Практическое занятие;Игнатовец Людмила Михайловна;316
СРБ-Б-04-Д-2023-1;Пт;06.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ЮСТ-Б-2-Д-2023-1;Пт;06.12.2024;15.30 - 17.00;Гражданское право;Практическое занятие;Климченя Вячеслав Сергеевич;103
ЮСТ-Б-2-Д-2023-1;Пт;06.12.2024;17.10 - 18.40;Международное право;Практическое занятие;Бочарова Ольга Станиславовна;103
ЮСТ-Б-2-Д-2023-1;Пт;06.12.2024;18.50 - 20.20;Иностранный язык (1 подгруппа);Практическое занятие;Максименко Анна Маратовна;103
МЕН-М-5-Д-2023-1;Пт;06.12.2024;12.10 - 13.40;Нейромаркетинг;Практическое занятие;Пакштайте Виолета Валентиновна;404
МЕН-М-5-Д-2023-1;Пт;06.12.2024;13.50 - 15.20;Нейромаркетинг;Практическое занятие;Пакштайте Виолета Валентиновна;404
МЕН-Б-3-Д-2024-1;Пт;06.12.2024;08.30 - 10.00;Безопасность жизнедеятельности;Практическое занятие;Шлимаков Максим Сергеевич;405
МЕН-Б-3-Д-2024-1;Пт;06.12.2024;10.10 - 11.40;Деловое общение;Практическое занятие;Саболевский Илья Русланович;405
МЕН-Б-3-Д-2024-1;Пт;06.12.2024;12.10 - 13.40;Экономическая теория;Практическое занятие;Корнелюк Наталья Николаевна;405
МЕН-Б-3-Д-2024-1;Пт;06.12.2024;13.50 - 15.20;Физическая культура и спорт;Практическое занятие;Данилевич Наталья Валерьевна;405
МЕН-Б-3-Д-2024-1;Пт;06.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
МЕН-Б-3-Д-2024-2;Пт;06.12.2024;08.30 - 10.00;История России;Практическое занятие;Козик Любовь Антоновна;104
МЕН-Б-3-Д-2024-2;Пт;06.12.2024;10.10 - 11.40;Безопасность жизнедеятельности;Практическое занятие;Шлимаков Максим Сергеевич;104
МЕН-Б-3-Д-2024-2;Пт;06.12.2024;12.10 - 13.40;Деловое общение;Практическое занятие;Саболевский Илья Русланович;104
МЕН-Б-3-Д-2024-2;Пт;06.12.2024;13.50 - 15.20;Экономическая теория;Практическое занятие;Корнелюк Наталья Николаевна;104
МЕН-Б-3-Д-2024-2;Пт;06.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ПСИ-Б-04-Д-2024-1;Пт;06.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ПСИ-Б-04-Д-2024-1;Пт;06.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Вальтер Валерия Яновна;209
ПСИ-Б-04-Д-2024-1;Пт;06.12.2024;10.10 - 11.40;Зоопсихология и сравнительная психология;Практическое занятие;Фищук Юлия Сергеевна;154
ПСИ-Б-04-Д-2024-1;Пт;06.12.2024;12.10 - 13.40;Зоопсихология и сравнительная психология;Практическое занятие;Фищук Юлия Сергеевна;154
ПСИ-Б-04-Д-2024-1;Пт;06.12.2024;13.50 - 15.20;Эмоционально-волевое регулирование деятельности и общения;Практическое занятие;Корбут Алина Анатольевна;156
ПСИ-Б-04-Д-2024-1;Пт;06.12.2024;15.30 - 17.00;Эмоционально-волевое регулирование деятельности и общения;Практическое занятие;Сутович Елена Иосифовна;156
ПСИ-Б-04-Д-2024-2;Пт;06.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ПСИ-Б-04-Д-2024-2;Пт;06.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Вальтер Валерия Яновна;209
ПСИ-Б-04-Д-2024-2;Пт;06.12.2024;10.10 - 11.40;Эмоционально-волевое регулирование деятельности и общения;Практическое занятие;Сутович Елена Иосифовна;156
ПСИ-Б-04-Д-2024-2;Пт;06.12.2024;12.10 - 13.40;Эмоционально-волевое регулирование деятельности и общения;Практическое занятие;Корбут Алина Анатольевна;156
ПСИ-Б-04-Д-2024-2;Пт;06.12.2024;13.50 - 15.20;Зоопсихология и сравнительная психология;Практическое занятие;Фищук Юлия Сергеевна;154
ПСИ-Б-04-Д-2024-2;Пт;06.12.2024;15.30 - 17.00;Зоопсихология и сравнительная психология;Практическое занятие;Фищук Юлия Сергеевна;154
СРБ-Б-04-Д-2024-1;Пт;06.12.2024;08.30 - 10.00;Информатика и основы информационно-коммуникационных технологий (2 подгруппа);Лабораторная работа;Бабинский Дмитрий Валерьевич;406
СРБ-Б-04-Д-2024-1;Пт;06.12.2024;10.10 - 11.40;Теория и практика социального взаимодействия;Практическое занятие;Андрейковец Елена Михайловна;219
СРБ-Б-04-Д-2024-1;Пт;06.12.2024;12.10 - 13.40;Безопасность жизнедеятельности;Практическое занятие;Шлимаков Максим Сергеевич;219
СРБ-Б-04-Д-2024-1;Пт;06.12.2024;13.50 - 15.20;Русский язык и культура речи;Практическое занятие;Самусевич Ольга Михайловна;219
СРБ-Б-04-Д-2024-1;Пт;06.12.2024;15.30 - 17.00;Философия;Практическое занятие;Торканевский Андрей Анатольевич;219
СРБ-Б-04-Д-2024-1;Пт;06.12.2024;17.10 - 18.40;Информатика и основы информационно-коммуникационных технологий (1 подгруппа);Лабораторная работа;Бабинский Дмитрий Валерьевич;406
МЕН-М-5-Д-2024-1;Пт;06.12.2024;10.10 - 11.40;Управление человеческими ресурсами;Практическое занятие;Пакштайте Виолета Валентиновна;202
МЕН-М-5-Д-2024-1;Пт;06.12.2024;12.10 - 13.40;Маркетинговые исследования;Практическое занятие;Врублевская-Токер Татьяна Ивановна;202
МЕН-М-5-Д-2024-1;Пт;06.12.2024;13.50 - 15.20;Маркетинговые исследования;Практическое занятие;Врублевская-Токер Татьяна Ивановна;202
МЕН-М-5-Д-2024-1;Пт;06.12.2024;15.30 - 17.00;Управление бизнес-процессами и организационное проектирование;Практическое занятие;Корнелюк Наталья Николаевна;202
МЕН-Б-2-Д-2021-1;Пт;06.12.2024;15.30 - 17.00;Предпринимательство;Практическое занятие;Кондратьева Тамара Николаевна;214
МЕН-Б-2-Д-2021-1;Пт;06.12.2024;17.10 - 18.40;Предпринимательство;Практическое занятие;Кондратьева Тамара Николаевна;214
СРБ-Б-04-З-2021-1;Пт;06.12.2024;10.10 - 11.40;Социальная работа с молодежью;Практическое занятие;Сретенский Никита Сергеевич;103
СРБ-Б-04-З-2021-1;Пт;06.12.2024;12.10 - 13.40;Социальная геронтология;Практическое занятие;Сретенский Никита Сергеевич;103
СРБ-Б-04-З-2021-1;Пт;06.12.2024;13.50 - 15.20;Прогнозирование, проектирование и моделирование в социальной работе;Практическое занятие;Игнатовец Людмила Михайловна;103
СРБ-Б-04-З-2021-1;Пт;06.12.2024;15.30 - 17.00;Прогнозирование, проектирование и моделирование в социальной работе;Практическое занятие;Игнатовец Людмила Михайловна;204
МЕН-Б-3-Д-2023-2;Пт;06.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
МЕН-Б-3-Д-2023-2;Пт;06.12.2024;15.30 - 17.00;Тайм-менеджмент в проектной деятельности;Практическое занятие;Нарвойш Юлия Александровна;405
МЕН-Б-3-Д-2023-2;Пт;06.12.2024;17.10 - 18.40;Анализ данных;Практическое занятие;Федотова Ольга Михайловна;405
МЕН-Б-3-Д-2023-2;Пт;06.12.2024;18.50 - 20.20;Анализ данных;Практическое занятие;Федотова Ольга Михайловна;405
МЕН-Б-3-Д-2023-2;Пт;06.12.2024;20.30 - 22.00;Иностранный язык (2 подгруппа);Практическое занятие;Ольшевская Екатерина Николаевна;405
ПСИ-Б-04-Д-2023-2;Пт;06.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
ПСИ-Б-04-Д-2023-2;Пт;06.12.2024;15.30 - 17.00;Общая психология;Практическое занятие;Ахунова Ирина Георгиевна;101
ПСИ-Б-04-Д-2023-2;Пт;06.12.2024;17.10 - 18.40;Общая психология;Практическое занятие;Ахунова Ирина Георгиевна;101
ПСИ-Б-04-Д-2023-2;Пт;06.12.2024;18.50 - 20.20;Психология развития и социализации человека;Практическое занятие;Чернявская Ирина Юрьевна;315
ПСИ-Б-04-Д-2023-2;Пт;06.12.2024;20.30 - 22.00;Психология развития и социализации человека;Практическое занятие;Чернявская Ирина Юрьевна;315
ЮСТ-Б-2-Д-2023-2;Пт;06.12.2024;15.30 - 17.00;Международное право;Практическое занятие;Бочарова Ольга Станиславовна;212
ЮСТ-Б-2-Д-2023-2;Пт;06.12.2024;17.10 - 18.40;Гражданское право;Практическое занятие;Климченя Вячеслав Сергеевич;212
ЮСТ-Б-2-Д-2023-2;Пт;06.12.2024;18.50 - 20.20;Иностранный язык (3 подгруппа);Практическое занятие;Ольшевская Екатерина Николаевна;212
МЕН-Б-3-Д-2022-2;Пт;06.12.2024;10.10 - 11.40;Социальное проектирование в системе управления;Практическое занятие;Щемелева Елена Владимировна;203
МЕН-Б-3-Д-2022-2;Пт;06.12.2024;12.10 - 13.40;Социальное проектирование в системе управления;Практическое занятие;Щемелева Елена Владимировна;203
МЕН-Б-3-Д-2022-2;Пт;06.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
МЕН-Б-3-Д-2022-1;Пт;06.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
ПСИ-Б-01-Д-2022-1;Пт;06.12.2024;12.10 - 13.40;Психодиагностика. Экспериментальные и прикладные методы в исследовательской и консультационной практике;Практическое занятие;Ковальчишина Наталья Ивановна;221
ПСИ-Б-01-Д-2022-1;Пт;06.12.2024;13.50 - 15.20;Прикладные исследования и психодиагностика в организации;Практическое занятие;Сутович Елена Иосифовна;221
СРБ-Б-04-Д-2022-1;Пт;06.12.2024;10.10 - 11.40;Проектная деятельность;Иная контактная работа;Селезнева Ирина Олеговна;401
СРБ-Б-04-Д-2022-1;Пт;06.12.2024;12.10 - 13.40;Регулирование занятости населения;Практическое занятие;Нарвойш Юлия Александровна;401
СРБ-Б-04-Д-2022-1;Пт;06.12.2024;13.50 - 15.20;Регулирование занятости населения;Практическое занятие;Нарвойш Юлия Александровна;401
ПСИ-Б-01-Д-2022-2;Сб;07.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ПСИ-Б-01-Д-2022-2;Сб;07.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
МЕН-Б-3-Д-2023-1;Сб;07.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
МЕН-Б-3-Д-2023-1;Сб;07.12.2024;10.10 - 11.40;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ПСИ-Б-04-Д-2023-1;Сб;07.12.2024;10.10 - 11.40;Введение в конфликтологию;Практическое занятие;Самаль Елена Викторовна;405
ПСИ-Б-04-Д-2023-1;Сб;07.12.2024;12.10 - 13.40;Основы киберпсихологии;Практическое занятие;Шлимаков Максим Сергеевич;405
ПСИ-Б-04-Д-2023-1;Сб;07.12.2024;13.50 - 15.20;Основы киберпсихологии;Практическое занятие;Шлимаков Максим Сергеевич;405
ПСИ-Б-04-Д-2023-1;Сб;07.12.2024;15.30 - 17.00;Анализ данных;Практическое занятие;Федотова Ольга Михайловна;405
СРБ-Б-04-Д-2023-1;Сб;07.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
СРБ-Б-04-Д-2023-1;Сб;07.12.2024;10.10 - 11.40;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
СРБ-Б-04-Д-2023-1;Сб;07.12.2024;12.10 - 13.40;Методика исследований в социальной работе;Практическое занятие;Ворошилина Наталья Николаевна;316
СРБ-Б-04-Д-2023-1;Сб;07.12.2024;13.50 - 15.20;Этические основы социальной работы;Практическое занятие;Игнатовец Людмила Михайловна;316
СРБ-Б-04-Д-2023-1;Сб;07.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
