Группа;День недели;Дата;Время;Дисциплина;Вид нагрузки кафедры;Преподаватель;Аудитория
ПСИ-Б-04-Д-2024-1;Пн;02.12.2024;13.50 - 15.20;Психологический аспект кадрового менеджмента в информационной среде;Практическое занятие;Саболевский Илья Русланович;154
ПСИ-Б-04-Д-2024-1;Пн;02.12.2024;15.30 - 17.00;Информатика и основы информационно-коммуникационных технологий (1 подгруппа);Лабораторная работа;Бабинский Дмитрий Валерьевич;212
ПСИ-Б-04-Д-2024-2;Пн;02.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ПСИ-Б-04-Д-2024-2;Пн;02.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Вальтер Валерия Яновна;209
ПСИ-Б-04-Д-2024-2;Пн;02.12.2024;10.10 - 11.40;Психологический аспект кадрового менеджмента в информационной среде;Практическое занятие;Саболевский Илья Русланович;156
ПСИ-Б-04-Д-2024-2;Пн;02.12.2024;12.10 - 13.40;Физическая культура и спорт;Практическое занятие;Данилевич Наталья Валерьевна;156
ПСИ-Б-04-Д-2024-2;Пн;02.12.2024;13.50 - 15.20;Русский язык и культура речи;Практическое занятие;Самусевич Ольга Михайловна;156
ПСИ-Б-04-Д-2024-2;Пн;02.12.2024;15.30 - 17.00;Информатика и основы информационно-коммуникационных технологий (1 подгруппа);Лабораторная работа;Бабинский Дмитрий Валерьевич;212
СРБ-Б-04-Д-2024-1;Пн;02.12.2024;08.30 - 10.00;История социальной работы;Лекция;Ершова Ольга Игоревна;103
СРБ-Б-04-Д-2024-1;Пн;02.12.2024;10.10 - 11.40;История социальной работы;Лекция;Ершова Ольга Игоревна;103
СРБ-Б-04-Д-2024-1;Пн;02.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ЮСТ-Б-2-Д-2024-1;Пн;02.12.2024;10.10 - 11.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ЮСТ-Б-2-Д-2024-1;Пн;02.12.2024;12.10 - 13.40;Традиционные ценности: основа российского общества;Практическое занятие;Саболевский Илья Русланович;204
ЮСТ-Б-2-Д-2024-1;Пн;02.12.2024;13.50 - 15.20;Теория государства и права;Лекция;Богатко Анна Григорьевна;312
ЮСТ-Б-2-Д-2024-1;Пн;02.12.2024;15.30 - 17.00;Экономика;Практическое занятие;Корнелюк Наталья Николаевна;204
ЮСТ-Б-2-Д-2024-1;Пн;02.12.2024;17.10 - 18.40;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ЮСТ-Б-2-Д-2024-1;Пн;02.12.2024;17.10 - 18.40;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ЮСТ-Б-2-Д-2024-2;Пн;02.12.2024;10.10 - 11.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ЮСТ-Б-2-Д-2024-2;Пн;02.12.2024;12.10 - 13.40;Основы медицинского права;Практическое занятие;Свило Светлана Михайловна;212
ЮСТ-Б-2-Д-2024-2;Пн;02.12.2024;13.50 - 15.20;Теория государства и права;Лекция;Богатко Анна Григорьевна;312
ЮСТ-Б-2-Д-2024-2;Пн;02.12.2024;15.30 - 17.00;Физическая культура и спорт;Практическое занятие;Данилевич Наталья Валерьевна;154
ЮСТ-Б-2-Д-2024-2;Пн;02.12.2024;17.10 - 18.40;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ЮСТ-Б-2-Д-2024-2;Пн;02.12.2024;17.10 - 18.40;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
МЕН-М-5-Д-2024-1;Пн;02.12.2024;10.10 - 11.40;Управление человеческими ресурсами;Лекция;Пакштайте Виолета Валентиновна;202
МЕН-М-5-Д-2024-1;Пн;02.12.2024;12.10 - 13.40;Методы научных исследований в менеджменте;Практическое занятие;Врублевская-Токер Татьяна Ивановна;202
ПСИ-Б-04-В-2024-1;Пн;02.12.2024;18.50 - 20.20;Эмоционально-волевое регулирование деятельности и общения;Лекция;Семёнова Елена Михайловна;219
ПСИ-Б-04-В-2024-1;Пн;02.12.2024;20.30 - 22.00;Эмоционально-волевое регулирование деятельности и общения;Лекция;Семёнова Елена Михайловна;219
ПСИ-Б-04-В-2024-2;Пн;02.12.2024;18.50 - 20.20;Эмоционально-волевое регулирование деятельности и общения;Лекция;Семёнова Елена Михайловна;219
ПСИ-Б-04-В-2024-2;Пн;02.12.2024;20.30 - 22.00;Эмоционально-волевое регулирование деятельности и общения;Лекция;Семёнова Елена Михайловна;219
ПСИ-М-9-В-2024-1;Пн;02.12.2024;18.50 - 20.20;Методология и методы научного исследования;Практическое занятие;Саболевский Илья Русланович;310
ПСИ-М-9-В-2024-1;Пн;02.12.2024;20.30 - 22.00;Методология и методы научного исследования;Практическое занятие;Саболевский Илья Русланович;310
КФЛ-Б-0-Д-2021-1;Пн;02.12.2024;15.30 - 17.00;Организационная психология. Экспертиза и консалтинг;Практическое занятие;Реут Вероника Геннадьевна;156
КФЛ-Б-0-Д-2021-1;Пн;02.12.2024;17.10 - 18.40;Организационная психология. Экспертиза и консалтинг;Практическое занятие;Реут Вероника Геннадьевна;156
МЕН-Б-2-Д-2021-1;Пн;02.12.2024;13.50 - 15.20;Маркетинговые коммуникации;Практическое занятие;Врублевская-Токер Татьяна Ивановна;214
МЕН-Б-2-Д-2021-1;Пн;02.12.2024;15.30 - 17.00;Формирование марочного капитала;Лекция;Врублевская-Токер Татьяна Ивановна;221
МЕН-Б-2-Д-2021-1;Пн;02.12.2024;17.10 - 18.40;Формирование марочного капитала;Лекция;Врублевская-Токер Татьяна Ивановна;221
СРБ-Б-04-Д-2021-1;Пн;02.12.2024;13.50 - 15.20;Администрирование в социальной работе;Лекция;Ворошилина Наталья Николаевна;406
СРБ-Б-04-Д-2021-1;Пн;02.12.2024;15.30 - 17.00;Конфликтология в социальной работе;Практическое занятие;Саболевский Илья Русланович;406
СРБ-Б-04-Д-2021-1;Пн;02.12.2024;17.10 - 18.40;Конфликтология в социальной работе;Практическое занятие;Саболевский Илья Русланович;406
ЮСТ-Б-2-Д-2021-1;Пн;02.12.2024;13.50 - 15.20;Проектная деятельность;Иная контактная работа;Свило Светлана Михайловна;101
ЮСТ-Б-2-Д-2021-1;Пн;02.12.2024;15.30 - 17.00;Проектная деятельность;Иная контактная работа;Свило Светлана Михайловна;103
СРБ-Б-04-З-2021-1;Пн;02.12.2024;10.10 - 11.40;Социальные инновации;Лекция;Андрейковец Елена Михайловна;214
СРБ-Б-04-З-2021-1;Пн;02.12.2024;12.10 - 13.40;Социальная работа с мигрантами;Лекция;Игнатовец Людмила Михайловна;214
СРБ-Б-04-З-2021-1;Пн;02.12.2024;13.50 - 15.20;Прогнозирование, проектирование и моделирование в социальной работе;Лекция;Игнатовец Людмила Михайловна;310
СРБ-Б-04-З-2021-1;Пн;02.12.2024;15.30 - 17.00;Прогнозирование, проектирование и моделирование в социальной работе;Практическое занятие;Игнатовец Людмила Михайловна;310
МЕН-Б-3-Д-2023-2;Пн;02.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
МЕН-Б-3-Д-2023-2;Пн;02.12.2024;15.30 - 17.00;Проектная деятельность;Практическое занятие;Михолап Сергей Владимирович;405
МЕН-Б-3-Д-2023-2;Пн;02.12.2024;17.10 - 18.40;Теория вероятностей и математическая статистика;Практическое занятие;Федотова Ольга Михайловна;405
МЕН-Б-3-Д-2023-2;Пн;02.12.2024;18.50 - 20.20;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
МЕН-Б-3-Д-2023-2;Пн;02.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ПСИ-Б-04-Д-2023-2;Пн;02.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ПСИ-Б-04-Д-2023-2;Пн;02.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ПСИ-Б-04-Д-2023-2;Пн;02.12.2024;15.30 - 17.00;Психология безопасности;Практическое занятие;Шингель Александр Леонидович;315
ПСИ-Б-04-Д-2023-2;Пн;02.12.2024;17.10 - 18.40;Гендерная психология. Теория и практика;Практическое занятие;Самаль Елена Викторовна;315
ПСИ-Б-04-Д-2023-2;Пн;02.12.2024;18.50 - 20.20;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ЮСТ-Б-2-Д-2023-2;Пн;02.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ЮСТ-Б-2-Д-2023-2;Пн;02.12.2024;15.30 - 17.00;Правоохранительные органы;Практическое занятие;Климова Евгения Ивановна;219
ЮСТ-Б-2-Д-2023-2;Пн;02.12.2024;17.10 - 18.40;Гражданское право;Практическое занятие;Климченя Вячеслав Сергеевич;214
ЮСТ-Б-2-Д-2023-2;Пн;02.12.2024;18.50 - 20.20;Международное право;Практическое занятие;Бочарова Ольга Станиславовна;212
ЮСТ-Б-2-Д-2023-2;Пн;02.12.2024;20.30 - 22.00;История государства и права зарубежных стран;Практическое занятие;Шевченко Кирилл Владимирович;214
ПСИ-Б-04-В-2023-2;Пн;02.12.2024;18.50 - 20.20;Основы киберпсихологии;Практическое занятие;Шлимаков Максим Сергеевич;103
ПСИ-Б-04-В-2023-2;Пн;02.12.2024;20.30 - 22.00;История социально-психологического знания;Практическое занятие;Самаль Елена Викторовна;103
МЕН-Б-3-Д-2022-2;Пн;02.12.2024;12.10 - 13.40;Планирование и прогнозирование бизнес-процессов для устойчивого развития фирмы;Практическое занятие;Кондратьева Тамара Николаевна;203
МЕН-Б-3-Д-2022-2;Пн;02.12.2024;13.50 - 15.20;Исследование систем управления;Практическое занятие;Корнелюк Наталья Николаевна;103
МЕН-Б-3-Д-2022-2;Пн;02.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
МЕН-Б-3-Д-2022-1;Пн;02.12.2024;12.10 - 13.40;Исследование систем управления;Практическое занятие;Корнелюк Наталья Николаевна;103
МЕН-Б-3-Д-2022-1;Пн;02.12.2024;13.50 - 15.20;Планирование и прогнозирование бизнес-процессов для устойчивого развития фирмы;Практическое занятие;Кондратьева Тамара Николаевна;203
МЕН-Б-3-Д-2022-1;Пн;02.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
СРБ-Б-04-Д-2022-1;Пн;02.12.2024;08.30 - 10.00;Социальное предпринимательство;Практическое занятие;Ворошилина Наталья Николаевна;401
СРБ-Б-04-Д-2022-1;Пн;02.12.2024;10.10 - 11.40;Социальное предпринимательство;Практическое занятие;Ворошилина Наталья Николаевна;401
СРБ-Б-04-Д-2022-1;Пн;02.12.2024;12.10 - 13.40;Регулирование занятости населения;Лекция;Юодешко Виктория Иосифовна;401
СРБ-Б-04-Д-2022-1;Пн;02.12.2024;13.50 - 15.20;Технологии социальной работы;Практическое занятие;Сретенский Никита Сергеевич;401
ЮСТ-Б-2-Д-2022-1;Пн;02.12.2024;08.30 - 10.00;Гражданское право;Лекция;Климченя Вячеслав Сергеевич;405
ЮСТ-Б-2-Д-2022-1;Пн;02.12.2024;10.10 - 11.40;Арбитражный процесс;Практическое занятие;Докунов Виталий Николаевич;405
